"organizacion_politica","total","votos_validos","votos_emitidos","departamento","involucrado_corrupcion"
"FUERZA POPULAR",14933,3.94,3.17,"Loreto",1
"PERU NACION",1079,0.28,0.23,"Loreto",0
"PARTIDO APRISTA PERUANO",4873,1.28,1.04,"Loreto",1
"RESTAURACION NACIONAL",129282,34.08,27.48,"Loreto",0
"VAMOS PERU",3717,0.98,0.79,"Loreto",0
"ACCION POPULAR",19527,5.15,4.15,"Loreto",1
"FUERZA POR MADRE DE DIOS",14695,24.48,18.44,"Madre de Dios",0
"ALIANZA PARA EL PROGRESO",13241,22.06,16.62,"Madre de Dios",1
"PARTIDO POPULAR CRISTIANO - PPC",669,1.11,0.84,"Madre de Dios",1
"TODOS POR EL PERU",0,0,0,"Madre de Dios",0
"UNION POR EL PERU",1207,2.01,1.51,"Madre de Dios",1
"PARTIDO DEMOCRATICO SOMOS PERU",6441,10.73,8.08,"Madre de Dios",0
"PERU PATRIA SEGURA",7678,12.79,9.63,"Madre de Dios",0
"PERU NACION",2087,3.48,2.62,"Madre de Dios",0
"JUNTOS POR EL PERU",1653,2.75,2.07,"Madre de Dios",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",3678,6.13,4.62,"Madre de Dios",0
"PERU LIBERTARIO",5017,8.36,6.3,"Madre de Dios",0
"DEMOCRACIA DIRECTA",3667,6.11,4.6,"Madre de Dios",1
"FRENTE DE INTEGRACION REGIONAL MOQUEGUA EMPRENDEDORA FIRME",37718,41.91,31.92,"Moquegua",0
"PODEMOS POR EL PROGRESO DEL PERU",5188,5.76,4.39,"Moquegua",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2093,2.33,1.77,"Moquegua",0
"ALIANZA PARA EL PROGRESO",2049,2.28,1.73,"Moquegua",1
"UNION POR EL PERU",19052,21.17,16.12,"Moquegua",1
"FUERZA POPULAR",1206,1.34,1.02,"Moquegua",1
"PERU NACION",16922,18.8,14.32,"Moquegua",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",925,1.03,0.78,"Moquegua",0
"PARTIDO APRISTA PERUANO",1703,1.89,1.44,"Moquegua",1
"PERU LIBERTARIO",978,1.09,0.83,"Moquegua",0
"VAMOS PERU",2174,2.42,1.84,"Moquegua",0
"PASCO DIGNIDAD",7934,6.59,5.48,"Pasco",0
"FRENTE ANDINO AMAZONICO",10712,8.9,7.4,"Pasco",0
"PASCO VERDE",17399,14.45,12.01,"Pasco",0
"PODEMOS POR EL PROGRESO DEL PERU",21540,17.89,14.87,"Pasco",1
"ALIANZA PARA EL PROGRESO",28283,23.49,19.53,"Pasco",1
"TODOS POR EL PERU",3805,3.16,2.63,"Pasco",0
"PARTIDO DEMOCRATICO SOMOS PERU",10249,8.51,7.08,"Pasco",0
"PERUANOS POR EL KAMBIO",13726,11.4,9.48,"Pasco",1
"ACCION POPULAR",6751,5.61,4.66,"Pasco",1
"REGION PARA TODOS",187822,22.35,17.25,"Piura",0
"MOVIMIENTO REGIONAL SEGURIDAD Y PROSPERIDAD",116192,13.82,10.67,"Piura",0
"MOVIMIENTO DE DESARROLLO LOCAL MODELO REGION PIURA",84715,10.08,7.78,"Piura",0
"MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL",165116,19.64,15.17,"Piura",0
"PODEMOS POR EL PROGRESO DEL PERU",5994,0.71,0.55,"Piura",1
"ALIANZA PARA EL PROGRESO",56807,6.76,5.22,"Piura",1
"PARTIDO POPULAR CRISTIANO - PPC",12307,1.46,1.13,"Piura",0
"PARTIDO DEMOCRATICO SOMOS PERU",102793,12.23,9.44,"Piura",0
"PERU PATRIA SEGURA",2143,0.25,0.2,"Piura",0
"FUERZA POPULAR",24973,2.97,2.29,"Piura",1
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",7123,0.85,0.65,"Piura",0
"PARTIDO APRISTA PERUANO",17414,2.07,1.6,"Piura",1
"RESTAURACION NACIONAL",18754,2.23,1.72,"Piura",1
"VAMOS PERU",3511,0.42,0.32,"Piura",0
"ACCION POPULAR",34882,4.15,3.2,"Piura",1
"MORAL Y DESARROLLO",51358,8.56,6.8,"Puno",0
"MOVIMIENTO DE INTEGRACION POR EL DESARROLLO REGIONAL (MI CASITA)",261219,43.55,34.58,"Puno",0
"PODER DEMOCRATICO REGIONAL",28582,4.76,3.78,"Puno",0
"PODER ANDINO",63696,10.62,8.43,"Puno",0
"FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO",97367,16.23,12.89,"Puno",0
"ALIANZA PARA EL PROGRESO",31784,5.3,4.21,"Puno",1
"PERU PATRIA SEGURA",5152,0.86,0.68,"Puno",0
"DEMOCRACIA DIRECTA",29498,4.92,3.9,"Puno",1
"ACCION POPULAR",31226,5.21,4.13,"Puno",1
"ACCION REGIONAL",79060,21.04,16.7,"San Martin",1
"NUEVA AMAZONIA",41886,11.15,8.85,"San Martin",0
"MAS SAN MARTIN",12002,3.19,2.54,"San Martin",0
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2467,0.66,0.52,"San Martin",0
"ALIANZA PARA EL PROGRESO",107364,28.57,22.68,"San Martin",1
"UNION POR EL PERU",8570,2.28,1.81,"San Martin",1
"FUERZA POPULAR",22243,5.92,4.7,"San Martin",1
"PARTIDO APRISTA PERUANO",14516,3.86,3.07,"San Martin",1
"VAMOS PERU",27273,7.26,5.76,"San Martin",0
"ACCION POPULAR",60406,16.07,12.76,"San Martin",1
"BANDERAS TACNEÑISTAS",25733,14.78,11.39,"Tacna",0
"MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA",28576,16.42,12.65,"Tacna",0
"FRENTE ESPERANZA POR TACNA",19198,11.03,8.5,"Tacna",0
"ACCION POR LA UNIDAD TACNA",29438,16.91,13.03,"Tacna",0
"PODEMOS POR EL PROGRESO DEL PERU",4332,2.49,1.92,"Tacna",1
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",12080,6.94,5.35,"Tacna",0
"TODOS POR EL PERU",6925,3.98,3.07,"Tacna",0
"UNION POR EL PERU",1174,0.67,0.52,"Tacna",1
"FUERZA POPULAR",1389,0.8,0.61,"Tacna",1
"SIEMPRE UNIDOS",12617,7.25,5.58,"Tacna",0
"PERU NACION",1890,1.09,0.84,"Tacna",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",3166,1.82,1.4,"Tacna",0
"RESTAURACION NACIONAL",12277,7.05,5.43,"Tacna",0
"DEMOCRACIA DIRECTA",6797,3.9,3.01,"Tacna",1
"VAMOS PERU",5468,3.14,2.42,"Tacna",0
"ACCION POPULAR",3017,1.73,1.34,"Tacna",1
"MOVIMIENTO POLITICO REGIONAL DIGNIDAD TUMBESINA",8843,8.77,6.61,"Tumbes",0
"MOVIMIENTO DE INCLUSION REGIONAL",10643,10.55,7.95,"Tumbes",0
"RECONSTRUCCION CON OBRAS MAS OBRAS PARA UN TUMBES BELLO",4112,4.08,3.07,"Tumbes",0
"MOVIMIENTO INDEPENDIENTE REGIONAL YO SI AMO A TUMBES",2365,2.35,1.77,"Tumbes",0
"MOVIMIENTO INDEPENDIENTE REGIONAL FAENA",24174,23.97,18.06,"Tumbes",0
"PODEMOS POR EL PROGRESO DEL PERU",1225,1.21,0.92,"Tumbes",1
"ALIANZA PARA EL PROGRESO",6336,6.28,4.73,"Tumbes",1
"SOLIDARIDAD NACIONAL",6805,6.75,5.08,"Tumbes",1
"FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP",1603,1.59,1.2,"Tumbes",0
"PARTIDO DEMOCRATICO SOMOS PERU",6998,6.94,5.23,"Tumbes",0
"FUERZA POPULAR",2951,2.93,2.2,"Tumbes",1
"PERU NACION",1029,1.02,0.77,"Tumbes",0
"JUNTOS POR EL PERU",1814,1.8,1.36,"Tumbes",0
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",2091,2.07,1.56,"Tumbes",0
"RESTAURACION NACIONAL",1934,1.92,1.44,"Tumbes",0
"DEMOCRACIA DIRECTA",17047,16.91,12.74,"Tumbes",1
"VAMOS PERU",867,0.86,0.65,"Tumbes",0
"UCAYALI REGION CON FUTURO",49023,22.23,18.25,"Ucayali",0
"TODOS SOMOS UCAYALI",25117,11.39,9.35,"Ucayali",0
"CIENCIA Y ACCION MOVILIZADORA DE UCAYALI",1815,0.82,0.68,"Ucayali",0
"ALIANZA PARA EL PROGRESO",80865,36.67,30.1,"Ucayali",1
"PARTIDO POPULAR CRISTIANO - PPC",6237,2.83,2.32,"Ucayali",0
"TODOS POR EL PERU",6263,2.84,2.33,"Ucayali",0
"FUERZA POPULAR",9583,4.35,3.57,"Ucayali",1
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",1759,0.8,0.65,"Ucayali",0
"PERU LIBERTARIO",2331,1.06,0.87,"Ucayali",0
"DEMOCRACIA DIRECTA",17066,7.74,6.35,"Ucayali",1
"ACCION POPULAR",20443,9.27,7.61,"Ucayali",1
